#Input Size	Average Time (ms)	Throughput (elements/s)
4	1.9902	2009.7561065084467
8	5.589	1431.3744712138391
16	6.8744	2327.4420267765913
32	3.4839	9184.866350603019
64	3.7302	17157.16392286066
128	4.0583	31539.78201411077
256	4.4356	57714.61196681726
512	5.2545	97440.16927184406
1024	6.7005	152822.70051975764
2048	9.6385	212479.376389805
4096	25.8296	158577.62011125628
8192	34.1347	239990.01896979215
16384	68.5344	239062.35553563922
32768	132.8913	246577.31070204248
65536	258.5346	253490.17921273984
131072	561.849	233286.86067866604
262144	1033.88	253553.59678777584
524288	2095.8289	250157.81623262953
1048576	4179.9738	250857.07054910366
