#Input Size	Average Time (ms)	Throughput (Messages/s)
4	1.9869	2013.140526985015
8	5.682	1407.9367523598746
16	5.3584	2985.9441385288574
32	3.4624	9242.083626611537
64	3.7461	17084.433709041732
128	4.0533	31578.83891122899
256	4.4269	57827.97521969062
512	5.2419	97673.26405228204
1024	6.7037	152751.38552199633
2048	9.6448	212341.82784827668
4096	26.8306	152661.40893841904
8192	44.1664	185480.34855703727
16384	72.8367	224941.46805803006
32768	152.6108	214716.1261541377
65536	264.631	247650.4959368773
131072	508.6981	257661.6473828368
262144	1040.8563	251854.15254996554
524288	1901.9193	275662.5865082041
1048576	3900.4085	268837.48133346165
2097152	7842.8975	267395.0522278593
4194304	16164.2542	259480.20427916714
