#Input Size	Average Time (ms)	Throughput (Password bits/s)
2	0.0048	411028.9865849729
4	0.0093	427835.39975202933
8	0.0184	433995.922750267
16	0.0361	442209.3103962673
32	0.0716	446518.9332023056
64	0.1431	447065.7354380536
128	0.288	444365.46377332375
256	0.4106	623400.5828064901
512	0.8226	622408.6314461994
1024	1.6477	621463.1084518568
2048	3.3218	616524.3394206114
4096	6.7776	604337.7240155896
8192	13.8294	592360.2934300678
16384	28.0661	583764.0389142771
32768	57.0027	574848.9884034345
65536	158.0589	414630.1898051689
