#Input Size	Average Time (ms)	Throughput (Password bits/s)
2	0.0308	64821.6650482622
4	0.0548	72911.71042433426
8	0.1033	77392.49136623113
16	0.204	78414.98745655258
32	0.3994	80113.78159831499
64	0.7943	80570.86159825978
128	1.5771	81158.87261449188
256	2.0616	124173.61368721505
512	4.1174	124348.09036184671
1024	8.2358	124334.50683737794
2048	16.5034	124095.55216940051
4096	32.964	124256.44455169923
8192	71.2079	115043.30895885325
16384	145.2898	112767.68861581483
32768	269.7046	121495.84566927914
65536	725.1451	90376.3875359797
