#Input Size	Average Time (ms)	Throughput (Passwords/s)
16	270.3611	59.18009043572231
32	272.3657	117.48905558927568
64	261.2444	244.9812598427322
128	300.781	425.5587372609698
256	268.1544	954.6735887512735
512	255.1531	2006.6379681968322
1024	292.3207	3503.001663628172
2048	294.1501	6962.4309427585595
4096	331.5736	12353.212957090444
8192	395.124	20732.72869741674
16384	404.4737	40506.95916431572
32768	493.0432	66460.69961487761
65536	580.3173	112931.31171810521
131072	887.7899	147638.5197810126
262144	1563.6256	167651.38169139496
524288	2930.549	178904.35923602778
1048576	6162.4951	170154.45384925147
2097152	12267.9298	170945.87534161969
4194304	22460.3456	186742.62889317088
