#Input Size	Average Time (ms)	Throughput (Passwords/s)
256	229.7951	1114.035786747743
512	215.5568	2375.243148700441
1024	258.7932	3956.827296936652
2048	210.4842	9729.943528854423
4096	253.0646	16185.589181615418
8192	250.4255	32712.314513961486
16384	334.92	48919.13362363165
32768	408.3408	80246.6823373489
65536	578.5318	113279.8454985701
131072	867.325	151122.11740617023
262144	1391.6987	188362.6002329419
524288	2751.137	190571.3892110789
1048576	5489.3646	191019.55563830305
2097152	10969.3526	191182.8401527883
4194304	20213.6599	207498.4939009044
