#Input Size	Average Time (ms)	Throughput (Passwords/s)
256	274.5944	932.2838740010479
512	290.8736	1760.2145404488604
1024	306.4418	3341.579968173784
2048	314.3908	6514.184590294304
4096	341.5157	11993.59180281727
8192	391.4777	20925.836454881297
16384	489.4259	33475.955157098746
32768	647.4593	50610.12702865419
65536	967.9924	67703.00970239934
131072	1384.6654	94659.69076724575
262144	2651.4346	98868.73885426518
524288	5251.3663	99838.39729635317
1048576	10534.6914	99535.52108885597
2097152	20158.487	104033.20442450208
4194304	44731.6062	93766.0046999837
