#Input Size	Average Time (ms)	Throughput (elements/s)
256	227.8271	1123.6589816977776
512	225.3325	2272.1971431519755
1024	219.1534	4672.524248926999
2048	220.799	9275.403596066908
4096	239.026	17136.207126657573
8192	266.5517	30733.246932216913
16384	317.7915	51555.81417002154
32768	432.3676	75787.35967418626
65536	540.1679	121325.23665594844
131072	789.9235	165929.98103188598
262144	1445.4082	181363.29667381902
524288	2705.4484	193789.68571540964
1048576	5435.8891	192898.7091283861
2097152	10846.2935	193351.9488906845
4194304	24007.0085	174711.6466436486
