#Input Size	Average Time (ms)	Throughput (Messages/s)
8	21.9791	363.9820760969765
16	21.9667	728.3735243286528
32	22.1816	1442.634621266394
64	22.1969	2883.277855836885
128	22.3787	5719.706761925506
256	22.6213	11316.767812812759
512	23.2003	22068.6189352884
1024	24.3069	42127.913338811515
2048	26.2522	78012.24503619174
4096	30.6829	133494.23922981805
8192	59.6672	137294.81888108072
16384	98.7138	165974.63698457734
32768	140.6226	233020.77677027322
65536	233.5683	280585.96784719685
131072	397.8947	329413.72778279317
262144	778.6586	336661.0035410992
524288	1437.4393	364737.47748255415
1048576	3002.8699	349191.2794958037
