#Input Size	Average Time (ms)	Throughput (Messages/s)
8	22.3655	357.69323228820866
16	22.6064	707.7619898147461
32	22.8606	1399.7881702749091
64	23.339	2742.18338350306
128	24.0041	5332.419145032255
256	25.2853	10124.448292523393
512	27.5766	18566.456101121097
1024	33.9173	30191.047330127512
2048	59.8535	34216.836207341345
4096	92.9011	44089.88612403718
8192	138.636	59089.971571194765
16384	226.1156	72458.49468276888
32768	378.1103	86662.5376072119
65536	700.9619	93494.37990404271
131072	1321.0366	99219.04651546989
262144	2704.1281	96942.1504898564
524288	6341.67	82673.49032449194
1048576	13585.3127	77184.53173537586
