#Input Size	Average Time (ms)	Throughput (Messages/s)
2	0.198	10099.18186341514
4	0.6438	6212.148906017708
8	0.352	22726.687808219187
16	0.4238	37748.35571368282
32	0.6868	46591.22688774098
64	1.1574	55293.550462538384
128	2.0322	62985.333707582846
256	3.7791	67739.6884518789
512	7.27	70425.91034250034
1024	14.0664	72797.41143779524
2048	27.4814	74522.87242636972
4096	54.2693	75475.44490609645
8192	108.1103	75774.42771661773
16384	215.9262	75877.74267253793
32768	432.9367	75687.73386356016
65536	859.3353	76263.59059199378
131072	1720.6721	76174.8850735569
262144	3424.644	76546.3495947607
